task_id,method,n_total,n_eligible,eligible_for_rq1,eligible_fraction,status_counts,failure_type_counts
citation-check,no_skill,10,6,True,0.6,execution_error:2;pass:6;timeout:2,agent_setup_error:2;agent_timeout:2;none:6
citation-check,original_skills,10,1,True,0.1,execution_error:8;pass:1;timeout:1,agent_setup_error:6;agent_timeout:1;infra_error:1;none:1;verifier_incomplete:1
citation-check,skillmoo,10,9,True,0.9,pass:9;timeout:1,agent_timeout:1;none:9
data-to-d3,no_skill,10,5,True,0.5,execution_error:5;fail:5,agent_setup_error:5;none:5
data-to-d3,original_skills,10,3,True,0.3,execution_error:7;fail:3,agent_setup_error:6;none:3;verifier_incomplete:1
data-to-d3,skillmoo,10,10,True,1.0,fail:10,none:10
dialogue-parser,no_skill,10,4,True,0.4,execution_error:6;fail:4,agent_setup_error:6;none:4
dialogue-parser,original_skills,10,4,True,0.4,execution_error:6;fail:4,agent_setup_error:6;none:4
dialogue-parser,skillmoo,10,9,True,0.9,fail:9;timeout:1,agent_timeout:1;none:9
enterprise-information-search,no_skill,10,3,True,0.3,execution_error:5;fail:3;timeout:2,agent_setup_error:5;agent_timeout:2;none:3
enterprise-information-search,original_skills,10,0,False,0.0,execution_error:10,agent_setup_error:10
enterprise-information-search,skillmoo,10,9,True,0.9,execution_error:2;fail:8,NonZeroAgentExitCodeError:2;none:7;verifier_incomplete:1
fix-build-agentops,no_skill,10,10,True,1.0,fail:10,fail:10
fix-build-agentops,original_skills,10,1,True,0.1,fail:1;timeout:9,fail:1;timeout:9
fix-build-agentops,skillmoo,10,6,True,0.6,fail:6;timeout:4,fail:6;timeout:4
fix-build-google-auto,no_skill,10,0,False,0.0,execution_error:7;infra_error:2;timeout:1,agent_timeout:1;infra_error:3;verifier_incomplete:6
fix-build-google-auto,original_skills,10,0,False,0.0,execution_error:8;infra_error:2,agent_setup_error:1;infra_error:3;verifier_incomplete:6
fix-build-google-auto,skillmoo,10,8,True,0.8,execution_error:6;fail:2;timeout:2,NonZeroAgentExitCodeError:6;agent_timeout:2;none:2
flink-query,no_skill,10,0,False,0.0,execution_error:6;infra_error:4,infra_error:4;verifier_incomplete:6
flink-query,original_skills,10,1,True,0.1,execution_error:5;infra_error:2;timeout:3,agent_timeout:3;execution_error:1;infra_error:3;verifier_incomplete:3
flink-query,skillmoo,10,0,False,0.0,execution_error:6;fail:1;timeout:3,agent_setup_error:6;agent_timeout:3;verifier_incomplete:1
gh-repo-analytics,no_skill,10,4,True,0.4,fail:4;infra_error:5;timeout:1,agent_timeout:1;infra_error:2;none:4;verifier_incomplete:3
gh-repo-analytics,original_skills,10,5,True,0.5,execution_error:1;fail:5;infra_error:3;timeout:1,agent_setup_error:1;agent_timeout:1;infra_error:2;none:5;verifier_incomplete:1
gh-repo-analytics,skillmoo,10,9,True,0.9,execution_error:7;fail:3,NonZeroAgentExitCodeError:6;agent_setup_error:1;none:3
jax-computing-basics,no_skill,10,2,True,0.2,execution_error:6;fail:2;infra_error:1;timeout:1,agent_setup_error:5;agent_timeout:1;infra_error:2;none:2
jax-computing-basics,original_skills,10,0,False,0.0,execution_error:10,agent_setup_error:5;verifier_incomplete:5
jax-computing-basics,skillmoo,10,3,True,0.3,execution_error:5;fail:3;timeout:2,agent_setup_error:5;agent_timeout:2;none:3
parallel-tfidf-search,no_skill,10,2,True,0.2,execution_error:8;fail:1;timeout:1,agent_setup_error:4;agent_timeout:1;execution_error:1;infra_error:2;none:1;verifier_incomplete:1
parallel-tfidf-search,original_skills,10,0,False,0.0,execution_error:10,agent_setup_error:10
parallel-tfidf-search,skillmoo,10,5,True,0.5,execution_error:8;infra_error:1;pass:1,NonZeroAgentExitCodeError:4;agent_setup_error:4;docker_error:1;none:1
python-scala-translation,no_skill,10,10,True,1.0,execution_error:1;fail:9,execution_error:1;fail:9
python-scala-translation,original_skills,10,10,True,1.0,fail:10,fail:10
python-scala-translation,skillmoo,10,9,True,0.9,fail:9;timeout:1,fail:9;timeout:1
react-performance-debugging,no_skill,10,0,False,0.0,execution_error:8;timeout:2,agent_timeout:2;infra_error:3;verifier_incomplete:5
react-performance-debugging,original_skills,10,1,True,0.1,execution_error:8;fail:1;timeout:1,agent_timeout:1;infra_error:2;none:1;verifier_incomplete:6
react-performance-debugging,skillmoo,10,9,True,0.9,execution_error:2;fail:7;timeout:1,NonZeroAgentExitCodeError:2;agent_timeout:1;none:7
