task_id,method,rank,selection_tier,seed,generation_id,candidate_id,pass_rate,cost_usd,cost_usd_raw,duration_sec,status,failure_type
citation-check,no_skill,1,1,0,0,0,1.0,0.09799042814,0.100537,237.385725,pass,none
citation-check,no_skill,2,1,1,0,0,1.0,0.1754104281,0.177957,426.568868,pass,none
citation-check,no_skill,3,1,0,0,0,1.0,0.2039654281,0.206512,412.394063,pass,none
citation-check,no_skill,4,1,0,0,0,1.0,0.4615854281,0.464132,270.990991,pass,none
citation-check,no_skill,5,1,0,0,0,1.0,0.5941814281,0.596728,337.066302,pass,none
citation-check,no_skill,6,1,0,0,0,1.0,0.6464774281,0.649024,349.758033,pass,none
citation-check,no_skill,7,2,4,0,0,0.0,0.01,0.000221,0.0,timeout,agent_timeout
citation-check,no_skill,8,2,4,0,0,0.0,0.01,0.000221,0.0,timeout,agent_timeout
citation-check,no_skill,9,2,0,0,0,0.0,0.01,0.001621,5.834457,execution_error,agent_setup_error
citation-check,no_skill,10,2,0,0,0,0.0,0.01,0.00168,6.048223,execution_error,agent_setup_error
citation-check,original_skills,1,1,0,0,0,1.0,0.5115890642,0.224602,514.275327,pass,none
citation-check,original_skills,2,2,4,0,0,0.0,0.2872080642,0.000221,0.0,timeout,agent_timeout
citation-check,original_skills,3,2,0,0,0,0.0,0.2882950642,0.001308,4.708073,execution_error,agent_setup_error
citation-check,original_skills,4,2,0,0,0,0.0,0.2883140642,0.001327,4.777935,execution_error,agent_setup_error
citation-check,original_skills,5,2,1,0,0,0.0,0.2886430642,0.001656,5.962662,execution_error,agent_setup_error
citation-check,original_skills,6,2,1,0,0,0.0,0.2886570642,0.00167,6.010662,execution_error,agent_setup_error
citation-check,original_skills,7,2,0,0,0,0.0,0.2888240642,0.001837,6.614727,execution_error,agent_setup_error
citation-check,original_skills,8,2,0,0,0,0.0,0.2888380642,0.001851,6.663971,execution_error,agent_setup_error
citation-check,original_skills,9,2,2,0,0,0.0,0.2899590642,0.002972,10.697805,execution_error,infra_error
citation-check,original_skills,10,2,4,0,0,0.0,0.2901430642,0.003156,10.565545,execution_error,verifier_incomplete
citation-check,skillmoo,1,1,0,2,0,1.0,0.049466346,0.158017,456.584353,pass,none
citation-check,skillmoo,2,1,0,1,0,1.0,0.073125346,0.181676,302.275348,pass,none
citation-check,skillmoo,3,1,0,1,0,1.0,0.096760346,0.205311,481.092783,pass,none
citation-check,skillmoo,4,1,0,0,0,1.0,0.106233346,0.214784,526.394765,pass,none
citation-check,skillmoo,5,1,0,2,3,1.0,0.163167346,0.271718,649.721636,pass,none
citation-check,skillmoo,6,1,0,0,0,1.0,0.266829346,0.37538,0.0,pass,none
citation-check,skillmoo,7,1,0,1,2,1.0,0.433101346,0.541652,352.827647,pass,none
citation-check,skillmoo,8,1,0,1,1,1.0,0.550056346,0.658607,555.816357,pass,none
citation-check,skillmoo,9,1,0,1,3,1.0,0.733922346,0.842473,715.19703,pass,none
citation-check,skillmoo,10,2,1,0,0,0.0,0.01,0.000656,0.0,timeout,agent_timeout
data-to-d3,no_skill,1,1,0,0,0,0.8444444444444444,0.2436812071,0.139528,199.525531,fail,none
data-to-d3,no_skill,2,1,0,0,0,0.8444444444444444,0.7972202071,0.693067,363.923209,fail,none
data-to-d3,no_skill,3,1,9,0,0,0.8,0.2447302071,0.140577,182.89441,fail,none
data-to-d3,no_skill,4,1,6,0,0,0.7777777777777778,0.2469082071,0.142755,250.603478,fail,none
data-to-d3,no_skill,5,1,1,0,0,0.0222222222222222,0.1381302071,0.033977,35.833854,fail,none
data-to-d3,no_skill,6,2,1,0,0,0.0,0.1055032071,0.00135,4.861424,execution_error,agent_setup_error
data-to-d3,no_skill,7,2,2,0,0,0.0,0.1057762071,0.001623,5.84166,execution_error,agent_setup_error
data-to-d3,no_skill,8,2,0,0,0,0.0,0.1057802071,0.001627,5.857208,execution_error,agent_setup_error
data-to-d3,no_skill,9,2,2,0,0,0.0,0.1057812071,0.001628,5.860121,execution_error,agent_setup_error
data-to-d3,no_skill,10,2,0,0,0,0.0,0.1058602071,0.001707,6.144327,execution_error,agent_setup_error
data-to-d3,original_skills,1,1,0,0,0,0.8,0.5281114454,0.292225,204.396735,fail,none
data-to-d3,original_skills,2,1,6,0,0,0.8,0.6210404454,0.385154,172.902855,fail,none
data-to-d3,original_skills,3,1,9,0,0,0.0222222222222222,0.2753184454,0.039432,50.559768,fail,none
data-to-d3,original_skills,4,2,2,0,0,0.0,0.2374864454,0.0016,5.758909,execution_error,agent_setup_error
data-to-d3,original_skills,5,2,2,0,0,0.0,0.2374984454,0.001612,5.803338,execution_error,agent_setup_error
data-to-d3,original_skills,6,2,1,0,0,0.0,0.2375604454,0.001674,6.025588,execution_error,agent_setup_error
data-to-d3,original_skills,7,2,0,0,0,0.0,0.2375684454,0.001682,6.053845,execution_error,agent_setup_error
data-to-d3,original_skills,8,2,1,0,0,0.0,0.2375844454,0.001698,6.111054,execution_error,agent_setup_error
data-to-d3,original_skills,9,2,0,0,0,0.0,0.2375934454,0.001707,6.143917,execution_error,agent_setup_error
data-to-d3,original_skills,10,2,4,0,0,0.0,0.2389744454,0.003088,10.325056,execution_error,verifier_incomplete
data-to-d3,skillmoo,1,1,0,1,3,0.9333333333333332,0.1450322,0.162386,264.721211,fail,none
data-to-d3,skillmoo,2,1,0,0,2,0.9111111111111112,0.2338522,0.251206,202.189591,fail,none
data-to-d3,skillmoo,3,1,0,2,3,0.9111111111111112,0.4259262,0.44328,242.716762,fail,none
data-to-d3,skillmoo,4,1,0,2,0,0.9111111111111112,0.4353662,0.45272,210.010009,fail,none
data-to-d3,skillmoo,5,1,0,0,3,0.8888888888888888,0.0894102,0.106764,210.993685,fail,none
data-to-d3,skillmoo,6,1,0,1,1,0.8666666666666667,0.1549892,0.172343,295.525399,fail,none
data-to-d3,skillmoo,7,1,0,1,0,0.8666666666666667,0.2242922,0.241646,244.114522,fail,none
data-to-d3,skillmoo,8,1,0,2,1,0.8666666666666667,0.2441732,0.261527,476.644942,fail,none
data-to-d3,skillmoo,9,1,0,1,0,0.8666666666666667,0.2927752,0.310129,181.857109,fail,none
data-to-d3,skillmoo,10,1,0,0,0,0.8444444444444444,0.2184432,0.235797,216.591863,fail,none
dialogue-parser,no_skill,1,1,5,0,0,0.9,0.2634944422,0.081415,152.656498,fail,none
dialogue-parser,no_skill,2,1,0,0,0,0.9,0.2805334422,0.098454,212.670993,fail,none
