task_id,method,selected_n,valid_selected_n,pass_mean,pass_median,cost_mean,best_pass
citation-check,no_skill,10,6,0.6,1.0,0.221961056864,1.0
citation-check,original_skills,10,1,0.1,0.0,0.3110470642,1.0
citation-check,skillmoo,10,9,0.9,1.0,0.2482662114,1.0
data-to-d3,no_skill,10,5,0.3288888888888889,0.0111111111111111,0.2199371071,0.8444444444444444
data-to-d3,original_skills,10,3,0.1622222222222222,0.0,0.3088736454,0.8
data-to-d3,skillmoo,10,10,0.8866666666666667,0.8777777777777778,0.246426,0.9333333333333332
dialogue-parser,no_skill,10,4,0.3475,0.0,0.2378729422,0.9
dialogue-parser,original_skills,10,4,0.355,0.0,0.3340622406,0.9
dialogue-parser,skillmoo,10,9,0.79,0.875,0.2666259538,0.9
enterprise-information-search,no_skill,10,4,0.225,0.0,0.32131574902,0.8
enterprise-information-search,original_skills,10,0,0.0,0.0,0.4093911313,0.0
enterprise-information-search,skillmoo,10,9,0.445,0.6875,0.326621,0.75
fix-build-agentops,no_skill,10,10,0.1,0.1,1.06,0.1
fix-build-agentops,original_skills,10,10,0.16,0.1375,1.614,0.3
fix-build-agentops,skillmoo,10,10,0.3725,0.275,1.096,0.7
fix-build-google-auto,no_skill,10,0,0.0,0.0,0.1342434247,0.0
fix-build-google-auto,original_skills,10,0,0.0,0.0,0.1885277865,0.0
fix-build-google-auto,skillmoo,10,8,0.42,0.45,0.1683701016,0.8
flink-query,no_skill,10,0,0.0,0.0,1.014483774,0.0
flink-query,original_skills,10,0,0.0,0.0,1.424713208,0.0
flink-query,skillmoo,10,0,0.0,0.0,1.136666667,0.0
gh-repo-analytics,no_skill,10,4,0.22,0.0,0.171247687276,0.725
gh-repo-analytics,original_skills,10,5,0.1525,0.0125,0.240495558592,0.725
gh-repo-analytics,skillmoo,10,9,0.1625,0.025,0.1918725,0.725
jax-computing-basics,no_skill,10,2,0.1883720930232558,0.0,0.226513104,0.9534883720930232
jax-computing-basics,original_skills,10,0,0.0,0.0,0.3181087951,0.0
jax-computing-basics,skillmoo,10,3,0.2813953488372093,0.0,0.253794,0.9534883720930232
parallel-tfidf-search,no_skill,10,1,0.0975,0.0,0.75354158936,0.975
parallel-tfidf-search,original_skills,10,0,0.0,0.0,1.058253156,0.0
parallel-tfidf-search,skillmoo,10,1,0.1,0.0,0.844297,1.0
python-scala-translation,no_skill,10,10,0.3875,0.475,0.85,0.5
python-scala-translation,original_skills,10,10,0.3906,0.3707,1.118,0.5
python-scala-translation,skillmoo,10,10,0.5131,0.5,1.058,0.8065
react-performance-debugging,no_skill,10,0,0.0,0.0,0.7893646179,0.0
react-performance-debugging,original_skills,10,1,0.0057971014492753,0.0,1.108562035,0.0579710144927536
react-performance-debugging,skillmoo,10,7,0.3565217391304348,0.572463768115942,0.8844345,0.5942028985507246
simpo-code-reproduction,no_skill,10,0,0.0,0.0,1.014483774,0.0
simpo-code-reproduction,original_skills,10,0,0.0,0.0,1.424713208,0.0
simpo-code-reproduction,skillmoo,10,0,0.0,0.0,1.136666667,0.0
spring-boot-jakarta-migration,no_skill,10,10,0.91,0.9,1.1412,0.925
spring-boot-jakarta-migration,original_skills,10,10,0.975,0.975,1.5507,0.975
spring-boot-jakarta-migration,skillmoo,10,10,0.9925,1.0,1.245,1.0
taxonomy-tree-merge,no_skill,10,0,0.0,0.0,1.014483774,0.0
taxonomy-tree-merge,original_skills,10,0,0.0,0.0,1.424713208,0.0
taxonomy-tree-merge,skillmoo,10,0,0.0,0.0,1.136666667,0.0
trend-anomaly-causal-inference,no_skill,10,0,0.0,0.0,1.01448377384,0.0
trend-anomaly-causal-inference,original_skills,10,0,0.0,0.0,1.424713208,0.0
trend-anomaly-causal-inference,skillmoo,10,0,0.0,0.0,1.136666667,0.0
